normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.1125,reduced_t-sne_cosine_1_t33-650M-mean_All,reduced_t-sne_cosine_1_t33-650M-mean_All_label,6,1065,8,1073,0,1065,0.7764395554073014,0.6752244651136423,0.7764395554073014,0.7720389427622846
0.1126,reduced_t-sne_cosine_6_t48-15B-sitemean_All,reduced_t-sne_cosine_6_t48-15B-sitemean_All_label,18,943,130,1073,0,943,0.8295507358691308,0.6876125005289384,0.8295507358691306,0.8212302254716024
0.1138,reduced_mds_cosine_10_prot5,reduced_mds_cosine_10_prot5_label,13,740,333,1073,0,740,0.8130787414146591,0.6045802074782288,0.8130787414146592,0.8064409604728718
0.1138,reduced_mds_euclidean_10_prot5,reduced_mds_euclidean_10_prot5_label,13,740,333,1073,0,740,0.8130787414146591,0.6045802074782288,0.8130787414146592,0.8064409604728718
0.1141,reduced_t-sne_euclidean_2_t36-3B-bos_All,reduced_t-sne_euclidean_2_t36-3B-bos_All_label,7,1071,2,1073,0,1071,0.7828503133775191,0.7607187732951426,0.7828503133775191,0.7780813712403793
0.1146,reduced_mds_euclidean_10_t36-3B-sitemean_All,reduced_mds_euclidean_10_t36-3B-sitemean_All_label,13,626,447,1073,0,626,0.8253117144446943,0.6261930770209814,0.8253117144446944,0.8200438408980545
0.1146,reduced_mds_cosine_10_t36-3B-sitemean_All,reduced_mds_cosine_10_t36-3B-sitemean_All_label,13,626,447,1073,0,626,0.8253117144446943,0.6261930770209814,0.8253117144446944,0.8200438408980545
0.1148,reduced_t-sne_cosine_8_t48-15B-mean_All,reduced_t-sne_cosine_8_t48-15B-mean_All_label,13,977,96,1073,0,977,0.8134997193228181,0.6642849826441045,0.8134997193228181,0.8067305701153457
0.1149,reduced_t-sne_cosine_6_t48-15B-mean_All,reduced_t-sne_cosine_6_t48-15B-mean_All_label,13,974,99,1073,0,974,0.8134935939876542,0.6636813124418626,0.8134935939876541,0.8067076985512245
0.1154,reduced_umap_cosine_10_t33-650M-mean_All,reduced_umap_cosine_10_t33-650M-mean_All_label,13,1064,9,1073,0,1064,0.8112379342463386,0.6636861939747835,0.8112379342463386,0.8047375618682009
0.1154,reduced_t-sne_euclidean_2_t36-3B-mean_All,reduced_t-sne_euclidean_2_t36-3B-mean_All_label,5,1070,3,1073,0,1070,0.7701172532613144,0.7614588303260317,0.7701172532613145,0.766222754405753
0.1155,reduced_t-sne_euclidean_2_prot5,reduced_t-sne_euclidean_2_prot5_label,11,1064,9,1073,0,1064,0.7967067243446029,0.6181789329486049,0.7967067243446029,0.7907731251957916
0.1165,reduced_t-sne_cosine_8_t36-3B-sitemean_All,reduced_t-sne_cosine_8_t36-3B-sitemean_All_label,16,989,84,1073,0,989,0.8102068835353324,0.6774912755481892,0.8102068835353324,0.8027749675944126
0.1168,reduced_umap_cosine_8_t33-650M-mean_All,reduced_umap_cosine_8_t33-650M-mean_All_label,15,1064,9,1073,0,1064,0.8133948521613951,0.640867665072779,0.8133948521613951,0.8062766999769257
0.1175,reduced_t-sne_cosine_8_t48-15B-attentionmean_All,reduced_t-sne_cosine_8_t48-15B-attentionmean_All_label,13,938,135,1073,0,938,0.8121183719222813,0.6530894823328202,0.8121183719222813,0.8050500108495381
0.1176,reduced_t-sne_cosine_10_t48-15B-mean_All,reduced_t-sne_cosine_10_t48-15B-mean_All_label,13,965,108,1073,0,965,0.8095674807975894,0.6589930080613758,0.8095674807975893,0.8025643549153846
0.1181,reduced_umap_euclidean_8_t33-650M-mean_All,reduced_umap_euclidean_8_t33-650M-mean_All_label,11,1064,9,1073,0,1064,0.7962947349361048,0.7221598392160846,0.7962947349361048,0.7900221729162487
0.1183,reduced_t-sne_euclidean_10_t48-15B-sitemean_All,reduced_t-sne_euclidean_10_t48-15B-sitemean_All_label,20,911,162,1073,0,911,0.8244600844368128,0.6804339422716595,0.8244600844368128,0.8153693881242426
0.1192,reduced_umap_euclidean_8_t48-15B-sitemean_All,reduced_umap_euclidean_8_t48-15B-sitemean_All_label,15,1073,0,1073,0,1073,0.8099549603330896,0.6952542524482053,0.8099549603330894,0.8027605395977967
0.1193,reduced_t-sne_euclidean_4_prot5,reduced_t-sne_euclidean_4_prot5_label,8,1061,12,1073,0,1061,0.7812888574560555,0.6267169722994695,0.7812888574560555,0.7762773298275835
0.1195,reduced_t-sne_cosine_8_t33-650M-mean_All,reduced_t-sne_cosine_8_t33-650M-mean_All_label,16,968,105,1073,0,968,0.8099076434823825,0.6519294404887517,0.8099076434823825,0.8026525830290242
0.1196,reduced_t-sne_euclidean_6_t48-15B-attentionmean_All,reduced_t-sne_euclidean_6_t48-15B-attentionmean_All_label,17,904,169,1073,0,904,0.8221705635367408,0.6522565851411865,0.8221705635367408,0.8137284402568797
0.1202,reduced_umap_cosine_10_t33-650M-attentionmean_All,reduced_umap_cosine_10_t33-650M-attentionmean_All_label,13,1064,9,1073,0,1064,0.8036328860866695,0.6359437924809003,0.8036328860866694,0.7968752766217891
0.1203,reduced_t-sne_euclidean_8_CARP,reduced_t-sne_euclidean_8_CARP_label,7,1050,23,1073,0,1050,0.7576013785603787,0.5961783458187663,0.7576013785603788,0.7522637885979732
0.1209,reduced_umap_euclidean_8_protbert,reduced_umap_euclidean_8_protbert_label,15,1073,0,1073,0,1073,0.8068160853419779,0.6229340481491724,0.806816085341978,0.7995361233570696
0.1214,genetic,genetic_label,4,1069,4,1073,0,1069,0.718654054397038,0.5260739831621754,0.718654054397038,0.715541730560496
0.1219,reduced_t-sne_euclidean_1_protbert,reduced_t-sne_euclidean_1_protbert_label,18,1054,19,1073,0,1054,0.8055342706459602,0.7176799898502381,0.8055342706459602,0.7972053652307506
0.122,reduced_t-sne_cosine_1_t48-15B-bos_All,reduced_t-sne_cosine_1_t48-15B-bos_All_label,16,1040,33,1073,0,1040,0.8040807272427775,0.730219469264127,0.8040807272427775,0.7963274187255607
0.1222,reduced_t-sne_cosine_10_t36-3B-sitemean_All,reduced_t-sne_cosine_10_t36-3B-sitemean_All_label,17,988,85,1073,0,988,0.803840810171549,0.6648663997173472,0.803840810171549,0.7960509271001327
0.1223,reduced_t-sne_cosine_1_t33-650M-sitemean_All,reduced_t-sne_cosine_1_t33-650M-sitemean_All_label,5,1071,2,1073,0,1071,0.751128327177734,0.6821296972096039,0.751128327177734,0.7469090476298016
0.1224,reduced_umap_cosine_8_t33-650M-attentionmean_All,reduced_umap_cosine_8_t33-650M-attentionmean_All_label,16,1064,9,1073,0,1064,0.806856534858839,0.6183981165928243,0.806856534858839,0.7991560541952101
0.1226,reduced_mds_cosine_8_t36-3B-mean_All,reduced_mds_cosine_8_t36-3B-mean_All_label,15,514,559,1073,0,514,0.8260828341326645,0.612551673526548,0.8260828341326645,0.8187245526059178
0.1226,reduced_mds_euclidean_8_t36-3B-mean_All,reduced_mds_euclidean_8_t36-3B-mean_All_label,15,514,559,1073,0,514,0.8260828341326645,0.612551673526548,0.8260828341326645,0.8187245526059178
0.1228,reduced_t-sne_euclidean_2_t36-3B-attentionmean_All,reduced_t-sne_euclidean_2_t36-3B-attentionmean_All_label,8,1066,7,1073,0,1066,0.7749386540657958,0.7458862266427515,0.7749386540657959,0.7694506505161945
0.1237,reduced_umap_euclidean_4_t36-3B-mean_All,reduced_umap_euclidean_4_t36-3B-mean_All_label,11,1072,1,1073,0,1072,0.7925947659361161,0.6716623412752681,0.792594765936116,0.7862974912134449
0.1242,reduced_umap_euclidean_8_t36-3B-mean_All,reduced_umap_euclidean_8_t36-3B-mean_All_label,11,1073,0,1073,0,1073,0.7918082148508006,0.6677318096871974,0.7918082148508006,0.7854938978755712
0.1245,reduced_umap_cosine_10_t36-3B-mean_All,reduced_umap_cosine_10_t36-3B-mean_All_label,11,1073,0,1073,0,1073,0.790913125349466,0.6619703208195634,0.7909131253494662,0.7845683360139479
0.1247,reduced_umap_cosine_6_t33-650M-mean_All,reduced_umap_cosine_6_t33-650M-mean_All_label,14,1073,0,1073,0,1073,0.7989440127875764,0.6279943487674677,0.7989440127875764,0.7917145578176183
0.1251,reduced_t-sne_cosine_6_t48-15B-attentionmean_All,reduced_t-sne_cosine_6_t48-15B-attentionmean_All_label,15,946,127,1073,0,946,0.8048237546772958,0.6146973260253148,0.8048237546772958,0.7967342347509034
0.1251,reduced_t-sne_cosine_1_t36-3B-sitemean_All,reduced_t-sne_cosine_1_t36-3B-sitemean_All_label,6,1072,1,1073,0,1072,0.7611037134957959,0.7776923633843821,0.7611037134957958,0.7564416091171013
0.1256,reduced_umap_cosine_6_t36-3B-attentionmean_All,reduced_umap_cosine_6_t36-3B-attentionmean_All_label,11,1073,0,1073,0,1073,0.7888345743082343,0.6744832293441596,0.7888345743082342,0.7824291970891015
